"","Gene.set.name","Category"
"1829","Calcium-Dependent Phospholipid Binding","MF"
"1830","Calcium-Transporting Atpase Activity","MF"
"1831","Calcium Ion Binding","MF"
"1832","Calcium Ion Transmembrane Transporter Activity","MF"
"1833","Camp-Dependent Protein Kinase Regulator Activity","MF"
"1834","Camp Binding","MF"
"1835","Carbamoyl-Phosphate Synthase Activity","MF"
"1836","Carbohydrate Binding","MF"
"1837","Carbohydrate Kinase Activity","MF"
"1838","Carbohydrate Transmembrane Transporter Activity","MF"
"1839","Carbon-Carbon Lyase Activity","MF"
"1840","Carbon-Nitrogen Ligase Activity, With Glutamine As Amido-N-Donor","MF"
"1841","Carbon-Nitrogen Lyase Activity","MF"
"1842","Carbon-Oxygen Lyase Activity","MF"
"1843","Carbon-Oxygen Lyase Activity, Acting On Phosphates","MF"
"1844","Carbon-Oxygen Lyase Activity, Acting On Polysaccharides","MF"
"1845","Carbon-Sulfur Lyase Activity","MF"
"1846","Carbonate Dehydratase Activity","MF"
"1847","Carboxy-Lyase Activity","MF"
"1848","Carboxyl- Or Carbamoyltransferase Activity","MF"
"1849","Carboxylesterase Activity","MF"
"1850","Carboxylic Acid Binding","MF"
"1851","Carboxylic Acid Transmembrane Transporter Activity","MF"
"1852","Carboxypeptidase Activity","MF"
"1853","Carboxypeptidase A Activity","MF"
"1854","Caspase Activity","MF"
"1855","Catalase Activity","MF"
"1856","Catalytic Activity","MF"
"1857","Cation-Transporting Atpase Activity","MF"
"1858","Cation:Cation Antiporter Activity","MF"
"1859","Cation:Chloride Symporter Activity","MF"
"1860","Cation:Sugar Symporter Activity","MF"
"1861","Cation Binding","MF"
"1862","Cation Channel Activity","MF"
"1863","Cation Transmembrane Transporter Activity","MF"
"1864","Cdp-Alcohol Phosphatidyltransferase Activity","MF"
"1865","Cdp-Diacylglycerol-Glycerol-3-Phosphate 3-Phosphatidyltransferase Activity","MF"
"1866","Cellulose Synthase (Udp-Forming) Activity","MF"
"1867","Cellulose Synthase Activity","MF"
"1868","Chalcone Isomerase Activity","MF"
"1869","Channel Activity","MF"
"1870","Channel Inhibitor Activity","MF"
"1871","Channel Regulator Activity","MF"
"1872","Chaperone Activator Activity","MF"
"1873","Chaperone Binding","MF"
"1874","Chitinase Activity","MF"
"1875","Chitin Binding","MF"
"1876","Chloride Channel Activity","MF"
"1877","Chlorophyllase Activity","MF"
"1878","Chlorophyll Binding","MF"
"1879","Cholestenol Delta-Isomerase Activity","MF"
"1880","Chorismate Mutase Activity","MF"
"1881","Chorismate Synthase Activity","MF"
"1882","Chromatin Binding","MF"
"1883","Cis-Trans Isomerase Activity","MF"
"1884","Citrate (Si)-Synthase Activity","MF"
"1885","Citrate Transmembrane Transporter Activity","MF"
"1886","Clathrin Binding","MF"
"1887","Coa-Ligase Activity","MF"
"1888","Coa Hydrolase Activity","MF"
"1889","Cobalt Ion Binding","MF"
"1890","Cobalt Ion Transmembrane Transporter Activity","MF"
"1891","Cobyrinic Acid A,C-Diamide Synthase Activity","MF"
"1892","Coenzyme-B Sulfoethylthiotransferase Activity","MF"
"1893","Coenzyme Binding","MF"
"1894","Cofactor Binding","MF"
"1895","Cofactor Transporter Activity","MF"
"1896","Copper-Exporting Atpase Activity","MF"
"1897","Copper-Transporting Atpase Activity","MF"
"1898","Copper Chaperone Activity","MF"
"1899","Copper Ion Binding","MF"
"1900","Copper Ion Transmembrane Transporter Activity","MF"
"1901","Coproporphyrinogen Oxidase Activity","MF"
"1902","Ctp Synthase Activity","MF"
"1903","Cyanate Hydratase Activity","MF"
"1904","Cyclase Activity","MF"
"1905","Cyclic-Nucleotide Phosphodiesterase Activity","MF"
"1906","Cyclic Nucleotide Binding","MF"
"1907","Cyclin-Dependent Protein Kinase Inhibitor Activity","MF"
"1908","Cyclin-Dependent Protein Kinase Regulator Activity","MF"
"1909","Cyclo-Ligase Activity","MF"
"1910","Cyclohydrolase Activity","MF"
"1911","Cyclopropane-Fatty-Acyl-Phospholipid Synthase Activity","MF"
"1912","Cysteine-Trna Ligase Activity","MF"
"1913","Cysteine-Type Endopeptidase Activity","MF"
"1914","Cysteine-Type Endopeptidase Inhibitor Activity","MF"
"1915","Cysteine-Type Peptidase Activity","MF"
"1916","Cysteine Desulfurase Activity","MF"
"1917","Cysteine Synthase Activity","MF"
"1918","Cytidylyltransferase Activity","MF"
"1919","Cytochrome-C Oxidase Activity","MF"
"1920","Cytokinin Dehydrogenase Activity","MF"
"1921","Cytoskeletal Protein Binding","MF"
"1922","D-Alanine-D-Alanine Ligase Activity","MF"
"1923","Damaged Dna Binding","MF"
"1924","Deacetylase Activity","MF"
"1925","Deaminase Activity","MF"
"1926","Deoxynucleoside Kinase Activity","MF"
"1927","Deoxyribodipyrimidine Photo-Lyase Activity","MF"
"1928","Deoxyribonuclease Activity","MF"
"1929","Diacylglycerol Kinase Activity","MF"
"1930","Diaminohydroxyphosphoribosylaminopyrimidine Deaminase Activity","MF"
"1931","Diaminopimelate Epimerase Activity","MF"
"1932","Dihydrodipicolinate Reductase Activity","MF"
"1933","Dihydrodipicolinate Synthase Activity","MF"
"1934","Dihydrofolate Reductase Activity","MF"
"1935","Dihydrolipoamide S-Acyltransferase Activity","MF"
"1936","Dihydrolipoyllysine-Residue Acetyltransferase Activity","MF"
"1937","Dihydrolipoyllysine-Residue Succinyltransferase Activity","MF"
"1938","Dihydrolipoyl Dehydrogenase Activity","MF"
"1939","Dihydroneopterin Aldolase Activity","MF"
"1940","Dihydroorotase Activity","MF"
"1941","Dihydroorotate Dehydrogenase Activity","MF"
"1942","Dihydroorotate Oxidase Activity","MF"
"1943","Dihydropteroate Synthase Activity","MF"
"1944","Dihydroxy-Acid Dehydratase Activity","MF"
"1945","Dioxygenase Activity","MF"
"1946","Dipeptidyl-Peptidase Iv Activity","MF"
"1947","Diphosphate-Fructose-6-Phosphate 1-Phosphotransferase Activity","MF"
"1948","Diphosphomevalonate Decarboxylase Activity","MF"
"1949","Diphosphotransferase Activity","MF"
"1950","Diphthine Synthase Activity","MF"
"1951","Disaccharide Transmembrane Transporter Activity","MF"
"1952","Disulfide Oxidoreductase Activity","MF"
"1953","Dna-(Apurinic Or Apyrimidinic Site) Lyase Activity","MF"
"1954","Dna-3-Methyladenine Glycosylase Activity","MF"
"1955","Dna-Dependent Atpase Activity","MF"
"1956","Dna-Directed Dna Polymerase Activity","MF"
"1957","Dna-Directed Rna Polymerase Activity","MF"
"1958","Dna Binding","MF"
"1959","Dna Clamp Loader Activity","MF"
"1960","Dna Helicase Activity","MF"
"1961","Dna Ligase (Atp) Activity","MF"
"1962","Dna Ligase Activity","MF"
"1963","Dna N-Glycosylase Activity","MF"
"1964","Dna Photolyase Activity","MF"
"1965","Dna Polymerase Activity","MF"
"1966","Dna Polymerase Processivity Factor Activity","MF"
"1967","Dna Primase Activity","MF"
"1968","Dna Topoisomerase (Atp-Hydrolyzing) Activity","MF"
"1969","Dna Topoisomerase Activity","MF"
"1970","Dna Topoisomerase Type I Activity","MF"
"1971","Dolichyl-Diphosphooligosaccharide-Protein Glycotransferase Activity","MF"
"1972","Dopamine Beta-Monooxygenase Activity","MF"
"1973","Double-Stranded Dna Binding","MF"
"1974","Double-Stranded Rna Binding","MF"
"1975","Drug:Hydrogen Antiporter Activity","MF"
"1976","Drug Transmembrane Transporter Activity","MF"
"1977","Dtdp-4-Dehydrorhamnose Reductase Activity","MF"
"1978","Electron-Transferring-Flavoprotein Dehydrogenase Activity","MF"
"1979","Electron Carrier Activity","MF"
"1980","Electron Transporter, Transferring Electrons Within Cytochrome B6/F Complex Of Photosystem Ii Activity","MF"
"1981","Electron Transporter, Transferring Electrons Within The Cyclic Electron Transport Pathway Of Photosynthesis Activity","MF"
"1982","Endodeoxyribonuclease Activity","MF"
"1983","Endodeoxyribonuclease Activity, Producing 5-Phosphomonoesters","MF"
"1984","Endonuclease Activity","MF"
"1985","Endonuclease Activity, Active With Either Ribo- Or Deoxyribonucleic Acids And Producing 3-Phosphomonoesters","MF"
"1986","Endonuclease Activity, Active With Either Ribo- Or Deoxyribonucleic Acids And Producing 5-Phosphomonoesters","MF"
"1987","Endopeptidase Activity","MF"
"1988","Endopeptidase Clp Activity","MF"
"1989","Endopeptidase Inhibitor Activity","MF"
"1990","Endoplasmic Reticulum Signal Peptide Binding","MF"
"1991","Endoribonuclease Activity","MF"
"1992","Endoribonuclease Activity, Producing 3-Phosphomonoesters","MF"
"1993","Endoribonuclease Activity, Producing 5-Phosphomonoesters","MF"
"1994","Enzyme Activator Activity","MF"
"1995","Enzyme Binding","MF"
"1996","Enzyme Inhibitor Activity","MF"
"1997","Enzyme Regulator Activity","MF"
"1998","Er Retention Sequence Binding","MF"
"1999","Excitatory Extracellular Ligand-Gated Ion Channel Activity","MF"
"2000","Exonuclease Activity","MF"
"2001","Exonuclease Activity, Active With Either Ribo- Or Deoxyribonucleic Acids And Producing 5-Phosphomonoesters","MF"
"2002","Exopeptidase Activity","MF"
"2003","Exoribonuclease Activity","MF"
"2004","Exoribonuclease Activity, Producing 5-Phosphomonoesters","MF"
"2005","Extracellular-Glutamate-Gated Ion Channel Activity","MF"
"2006","Extracellular Ligand-Gated Ion Channel Activity","MF"
"2007","Farnesyl-Diphosphate Farnesyltransferase Activity","MF"
"2008","Farnesyltranstransferase Activity","MF"
"2009","Fatty-Acyl-Coa Binding","MF"
"2010","Fatty Acid Binding","MF"
"2011","Fatty Acid Synthase Activity","MF"
"2012","Ferredoxin-Nad(P) Reductase Activity","MF"
"2013","Ferredoxin-Nadp Reductase Activity","MF"
"2014","Ferredoxin Hydrogenase Activity","MF"
"2015","Ferric Iron Binding","MF"
"2016","Ferrochelatase Activity","MF"
"2017","Ferrous Iron Binding","MF"
"2018","Flavin Adenine Dinucleotide Binding","MF"
"2019","Fmn Adenylyltransferase Activity","MF"
"2020","Fmn Binding","MF"
"2021","Folic Acid Binding","MF"
"2022","Formate-Tetrahydrofolate Ligase Activity","MF"
"2023","Formyltetrahydrofolate Deformylase Activity","MF"
"2024","Fructose-Bisphosphate Aldolase Activity","MF"
"2025","Fucosidase Activity","MF"
"2026","Fucosyltransferase Activity","MF"
"2027","Fumarate Hydratase Activity","MF"
"2028","Fumarylacetoacetase Activity","MF"
"2029","G-Protein Coupled Gaba Receptor Activity","MF"
"2030","G-Protein Coupled Photoreceptor Activity","MF"
"2031","G-Protein Coupled Receptor Activity","MF"
"2032","Gaba Receptor Activity","MF"
"2033","Galactokinase Activity","MF"
"2034","Galactosidase Activity","MF"
"2035","Galactoside 2-Alpha-L-Fucosyltransferase Activity","MF"
"2036","Galactosylgalactosylxylosylprotein 3-Beta-Glucuronosyltransferase Activity","MF"
"2037","Galactosyltransferase Activity","MF"
"2038","Gamma-Glutamyltransferase Activity","MF"
"2039","Gamma-Glutamyl Hydrolase Activity","MF"
"2040","Gated Channel Activity","MF"
"2041","Gdp-Dissociation Inhibitor Activity","MF"
"2042","Gdp-Mannose 4,6-Dehydratase Activity","MF"
"2043","General Rna Polymerase Ii Transcription Factor Activity","MF"
"2044","Geranylgeranyl Reductase Activity","MF"
"2045","Glucan 1,4-Alpha-Glucosidase Activity","MF"
"2046","Glucose-1-Phosphate Adenylyltransferase Activity","MF"
"2047","Glucose-6-Phosphate Dehydrogenase Activity","MF"
"2048","Glucose-6-Phosphate Isomerase Activity","MF"
"2049","Glucosidase Activity","MF"
"2050","Glucosyltransferase Activity","MF"
"2051","Glucuronosyltransferase Activity","MF"
"2052","Glutamate-1-Semialdehyde 2,1-Aminomutase Activity","MF"
"2053","Glutamate-5-Semialdehyde Dehydrogenase Activity","MF"
"2054","Glutamate-Ammonia Ligase Activity","MF"
"2055","Glutamate-Cysteine Ligase Activity","MF"
"2056","Glutamate-Trna Ligase Activity","MF"
"2057","Glutamate 5-Kinase Activity","MF"
"2058","Glutamate Decarboxylase Activity","MF"
"2059","Glutamate N-Acetyltransferase Activity","MF"
"2060","Glutamate Receptor Activity","MF"
"2061","Glutamate Synthase Activity","MF"
"2062","Glutamate Synthase Activity, Nadh Or Nadph As Acceptor","MF"
"2063","Glutaminase Activity","MF"
"2064","Glutamine-Fructose-6-Phosphate Transaminase (Isomerizing) Activity","MF"
"2065","Glutamine-Trna Ligase Activity","MF"
"2066","Glutamyl-Trna Reductase Activity","MF"
"2067","Glutathione-Disulfide Reductase Activity","MF"
"2068","Glutathione Disulfide Oxidoreductase Activity","MF"
"2069","Glutathione Peroxidase Activity","MF"
"2070","Glutathione Synthase Activity","MF"
"2071","Glyceraldehyde-3-Phosphate Dehydrogenase (Nad) (Phosphorylating) Activity","MF"
"2072","Glyceraldehyde-3-Phosphate Dehydrogenase Activity","MF"
"2073","Glycerol-3-Phosphate Dehydrogenase Activity","MF"
"2074","Glycerol-3-Phosphate Dehydrogenase [Nad] Activity","MF"
"2075","Glycerol Kinase Activity","MF"
"2076","Glycerone Kinase Activity","MF"
"2077","Glycerophosphodiester Phosphodiesterase Activity","MF"
"2078","Glycine-Trna Ligase Activity","MF"
"2079","Glycine Dehydrogenase (Decarboxylating) Activity","MF"
"2080","Glycine Hydroxymethyltransferase Activity","MF"
"2081","Glycogen Debranching Enzyme Activity","MF"
"2082","Glycolipid Binding","MF"
"2083","Glycolipid Transporter Activity","MF"
"2084","Glycosaminoglycan Binding","MF"
"2085","Glycylpeptide N-Tetradecanoyltransferase Activity","MF"
"2086","Gmp Synthase (Glutamine-Hydrolyzing) Activity","MF"
"2087","Growth Factor Activity","MF"
"2088","Gtpase Activator Activity","MF"
"2089","Gtpase Activity","MF"
"2090","Gtpase Binding","MF"
"2091","Gtpase Regulator Activity","MF"
"2092","Gtp Binding","MF"
"2093","Gtp Cyclohydrolase Activity","MF"
"2094","Gtp Cyclohydrolase Ii Activity","MF"
"2095","Gtp Cyclohydrolase I Activity","MF"
"2096","Guanyl-Nucleotide Exchange Factor Activity","MF"
"2097","Guanylyltransferase Activity","MF"
"2098","Guanyl Nucleotide Binding","MF"
"2099","Guanyl Ribonucleotide Binding","MF"
"2100","Heat Shock Protein Binding","MF"
"2101","Hedgehog Receptor Activity","MF"
"2102","Helicase Activity","MF"
"2103","Heme-Copper Terminal Oxidase Activity","MF"
"2104","Heme Binding","MF"
"2105","Heme Oxygenase (Decyclizing) Activity","MF"
"2106","Heme Transporter Activity","MF"
"2107","Hemoglobin Binding","MF"
"2108","Hexokinase Activity","MF"
"2109","Hexosaminidase Activity","MF"
"2110","Histidine-Trna Ligase Activity","MF"
"2111","Histidinol-Phosphate Transaminase Activity","MF"
"2112","Histidinol Dehydrogenase Activity","MF"
"2113","Histone-Lysine N-Methyltransferase Activity","MF"
"2114","Histone Acetyltransferase Activity","MF"
"2115","Histone Deacetylase Activity","MF"
"2116","Histone Methyltransferase Activity","MF"
"2117","Holo-[Acyl-Carrier-Protein] Synthase Activity","MF"
"2118","Homocysteine S-Methyltransferase Activity","MF"
"2119","Homogentisate 1,2-Dioxygenase Activity","MF"
"2120","Homoserine Dehydrogenase Activity","MF"
"2121","Homoserine Kinase Activity","MF"
"2122","Hormone Activity","MF"
"2123","Hyaluronic Acid Binding","MF"
"2124","Hydro-Lyase Activity","MF"
"2125","Hydrogen-Exporting Atpase Activity, Phosphorylative Mechanism","MF"
"2126","Hydrogen-Translocating Pyrophosphatase Activity","MF"
"2127","Hydrogen Ion Transmembrane Transporter Activity","MF"
"2128","Hydrogen Ion Transporting Atp Synthase Activity, Rotational Mechanism","MF"
"2129","Hydrolase Activity","MF"
"2130","Hydrolase Activity, Acting On Acid Anhydrides","MF"
"2131","Hydrolase Activity, Acting On Acid Anhydrides, Catalyzing Transmembrane Movement Of Substances","MF"
"2132","Hydrolase Activity, Acting On Acid Anhydrides, In Phosphorus-Containing Anhydrides","MF"
"2133","Hydrolase Activity, Acting On Acid Carbon-Carbon Bonds","MF"
"2134","Hydrolase Activity, Acting On Acid Carbon-Carbon Bonds, In Ketonic Substances","MF"
"2135","Hydrolase Activity, Acting On Acid Halide Bonds","MF"
"2136","Hydrolase Activity, Acting On Acid Halide Bonds, In C-Halide Compounds","MF"
"2137","Hydrolase Activity, Acting On Carbon-Nitrogen (But Not Peptide) Bonds","MF"
"2138","Hydrolase Activity, Acting On Carbon-Nitrogen (But Not Peptide) Bonds, In Cyclic Amides","MF"
"2139","Hydrolase Activity, Acting On Carbon-Nitrogen (But Not Peptide) Bonds, In Cyclic Amidines","MF"
"2140","Hydrolase Activity, Acting On Carbon-Nitrogen (But Not Peptide) Bonds, In Linear Amides","MF"
"2141","Hydrolase Activity, Acting On Carbon-Nitrogen (But Not Peptide) Bonds, In Linear Amidines","MF"
"2142","Hydrolase Activity, Acting On Ester Bonds","MF"
"2143","Hydrolase Activity, Acting On Ether Bonds","MF"
"2144","Hydrolase Activity, Acting On Glycosyl Bonds","MF"
"2145","Hydrolase Activity, Hydrolyzing N-Glycosyl Compounds","MF"
"2146","Hydrolase Activity, Hydrolyzing O-Glycosyl Compounds","MF"
"2147","Hydroxymethyl-, Formyl- And Related Transferase Activity","MF"
"2148","Hydroxymethylbilane Synthase Activity","MF"
"2149","Hydroxymethylglutaryl-Coa Lyase Activity","MF"
"2150","Hydroxymethylglutaryl-Coa Reductase (Nadph) Activity","MF"
"2151","Hydroxymethylglutaryl-Coa Synthase Activity","MF"
"2152","Hypoxanthine Phosphoribosyltransferase Activity","MF"
"2153","Identical Protein Binding","MF"
"2154","Imidazoleglycerol-Phosphate Dehydratase Activity","MF"
"2155","Imidazoleglycerol-Phosphate Synthase Activity","MF"
"2156","Importin-Alpha Export Receptor Activity","MF"
"2157","Imp Cyclohydrolase Activity","MF"
"2158","Imp Dehydrogenase Activity","MF"
"2159","Indole-3-Glycerol-Phosphate Synthase Activity","MF"
"2160","Inorganic Anion Exchanger Activity","MF"
"2161","Inorganic Anion Transmembrane Transporter Activity","MF"
"2162","Inorganic Cation Transmembrane Transporter Activity","MF"
"2163","Inorganic Diphosphatase Activity","MF"
"2164","Inorganic Phosphate Transmembrane Transporter Activity","MF"
"2165","Inositol-1,3,4-Trisphosphate 5/6-Kinase Activity","MF"
"2166","Inositol-1,4,5-Trisphosphate 3-Kinase Activity","MF"
"2167","Inositol-3-Phosphate Synthase Activity","MF"
"2168","Inositol Or Phosphatidylinositol Kinase Activity","MF"
"2169","Inositol Or Phosphatidylinositol Phosphatase Activity","MF"
"2170","Inositol Tetrakisphosphate 1-Kinase Activity","MF"
"2171","Inositol Tetrakisphosphate Kinase Activity","MF"
"2172","Inositol Trisphosphate Kinase Activity","MF"
"2173","Integrase Activity","MF"
"2174","Intramolecular Lyase Activity","MF"
"2175","Intramolecular Oxidoreductase Activity","MF"
"2176","Intramolecular Oxidoreductase Activity, Interconverting Aldoses And Ketoses","MF"
"2177","Intramolecular Oxidoreductase Activity, Transposing C=C Bonds","MF"
"2178","Intramolecular Transferase Activity","MF"
"2179","Intramolecular Transferase Activity, Phosphotransferases","MF"
"2180","Intramolecular Transferase Activity, Transferring Amino Groups","MF"
"2181","Intramolecular Transferase Activity, Transferring Hydroxy Groups","MF"
"2182","Ionotropic Glutamate Receptor Activity","MF"
"2183","Ion Binding","MF"
"2184","Ion Channel Activity","MF"
"2185","Ion Channel Inhibitor Activity","MF"
"2186","Ion Transmembrane Transporter Activity","MF"
"2187","Iron-Sulfur Cluster Binding","MF"
"2188","Iron Ion Binding","MF"
"2189","Iron Ion Transmembrane Transporter Activity","MF"
"2190","Isochorismate Synthase Activity","MF"
"2191","Isocitrate Dehydrogenase (Nad) Activity","MF"
"2192","Isocitrate Dehydrogenase (Nadp) Activity","MF"
"2193","Isocitrate Dehydrogenase Activity","MF"
"2194","Isocitrate Lyase Activity","MF"
"2195","Isoleucine-Trna Ligase Activity","MF"
"2196","Isomerase Activity","MF"
"2197","Isopentenyl-Diphosphate Delta-Isomerase Activity","MF"
"2198","Ketol-Acid Reductoisomerase Activity","MF"
"2199","Kinase Activity","MF"
"2200","Kinase Inhibitor Activity","MF"
"2201","Kinase Regulator Activity","MF"
"2202","L-Aspartate Oxidase Activity","MF"
"2203","L-Fucose Isomerase Activity","MF"
"2204","L-Lactate Dehydrogenase Activity","MF"
"2205","L-Malate Dehydrogenase Activity","MF"
"2206","L-Threonine Ammonia-Lyase Activity","MF"
"2207","Lactate Dehydrogenase Activity","MF"
"2208","Lactoylglutathione Lyase Activity","MF"
"2209","Legumain Activity","MF"
"2210","Leucine-Trna Ligase Activity","MF"
"2211","Leucyl Aminopeptidase Activity","MF"
"2212","Ligand-Activated Sequence-Specific Dna Binding Rna Polymerase Ii Transcription Factor Activity","MF"
"2213","Ligand-Gated Channel Activity","MF"
"2214","Ligand-Gated Ion Channel Activity","MF"
"2215","Ligase Activity","MF"
"2216","Ligase Activity, Forming Aminoacyl-Trna And Related Compounds","MF"
"2217","Ligase Activity, Forming Carbon-Nitrogen Bonds","MF"
"2218","Ligase Activity, Forming Carbon-Oxygen Bonds","MF"
"2219","Ligase Activity, Forming Carbon-Sulfur Bonds","MF"
"2220","Ligase Activity, Forming Nitrogen-Metal Bonds","MF"
"2221","Ligase Activity, Forming Nitrogen-Metal Bonds, Forming Coordination Complexes","MF"
"2222","Ligase Activity, Forming Phosphoric Ester Bonds","MF"
"2223","Lipase Activity","MF"
"2224","Lipid-A-Disaccharide Synthase Activity","MF"
"2225","Lipid Binding","MF"
"2226","Lipid Kinase Activity","MF"
"2227","Lipid Transporter Activity","MF"
"2228","Lipoate-Protein Ligase Activity","MF"
"2229","Lipoate Synthase Activity","MF"
"2230","Lipoxygenase Activity","MF"
"2231","Lyase Activity","MF"
"2232","Lysine-Trna Ligase Activity","MF"
"2233","Lysine N-Acetyltransferase Activity","MF"
"2234","Lysine N-Methyltransferase Activity","MF"
"2235","Macromolecule Transmembrane Transporter Activity","MF"
"2236","Magnesium Chelatase Activity","MF"
"2237","Magnesium Ion Binding","MF"
"2238","Magnesium Protoporphyrin Ix Methyltransferase Activity","MF"
"2239","Malate Dehydrogenase (Nadp) Activity","MF"
"2240","Malate Dehydrogenase Activity","MF"
"2241","Malate Synthase Activity","MF"
"2242","Malic Enzyme Activity","MF"
"2243","Malonyl-Coa Decarboxylase Activity","MF"
"2244","Malonyltransferase Activity","MF"
"2245","Manganese Ion Binding","MF"
"2246","Mannose-6-Phosphate Isomerase Activity","MF"
"2247","Mannosidase Activity","MF"
"2248","Mannosyl-Oligosaccharide 1,2-Alpha-Mannosidase Activity","MF"
"2249","Mannosyl-Oligosaccharide Glucosidase Activity","MF"
"2250","Mannosyl-Oligosaccharide Mannosidase Activity","MF"
"2251","Mannosyltransferase Activity","MF"
"2252","Map Kinase Activity","MF"
"2253","Membrane Alanyl Aminopeptidase Activity","MF"
"2254","Metabotropic Glutamate, Gaba-B-Like Receptor Activity","MF"
"2255","Metallochaperone Activity","MF"
"2256","Metalloendopeptidase Activity","MF"
"2257","Metalloexopeptidase Activity","MF"
"2258","Metallopeptidase Activity","MF"
"2259","Metal Cluster Binding","MF"
"2260","Metal Ion Binding","MF"
"2261","Metal Ion Transmembrane Transporter Activity","MF"
"2262","Methionine-Trna Ligase Activity","MF"
"2263","Methionine Adenosyltransferase Activity","MF"
"2264","Methionyl-Trna Formyltransferase Activity","MF"
"2265","Methionyl Aminopeptidase Activity","MF"
"2266","Methylenetetrahydrofolate Reductase (Nadph) Activity","MF"
"2267","Methylmalonate-Semialdehyde Dehydrogenase (Acylating) Activity","MF"
"2268","Methyltransferase Activity","MF"
"2269","Mevalonate Kinase Activity","MF"
"2270","Microtubule Binding","MF"
"2271","Microtubule Motor Activity","MF"
"2272","Mismatched Dna Binding","MF"
"2273","Molecular Function","MF"
"2274","Molecular Transducer Activity","MF"
"2275","Molybdenum Ion Binding","MF"
"2276","Monocarboxylic Acid Binding","MF"
"2277","Monocarboxylic Acid Transmembrane Transporter Activity","MF"
"2278","Monooxygenase Activity","MF"
"2279","Monovalent Cation:Hydrogen Antiporter Activity","MF"
"2280","Monovalent Inorganic Cation Transmembrane Transporter Activity","MF"
"2281","Motor Activity","MF"
"2282","Mrna Guanylyltransferase Activity","MF"
"2283","Myristoyltransferase Activity","MF"
"2284","N,N-Dimethylaniline Monooxygenase Activity","MF"
"2285","N-Acetyl-Gamma-Glutamyl-Phosphate Reductase Activity","MF"
"2286","N-Acetyltransferase Activity","MF"
"2287","N-Acyltransferase Activity","MF"
"2288","N-Methyltransferase Activity","MF"
"2289","N6-(1,2-Dicarboxyethyl)Amp Amp-Lyase (Fumarate-Forming) Activity","MF"
"2290","Nad Adp-Ribosyltransferase Activity","MF"
"2291","Nad Kinase Activity","MF"
"2292","Nad Synthase (Glutamine-Hydrolyzing) Activity","MF"
"2293","Nad-Dependent Histone Deacetylase Activity","MF"
"2294","Nad-Dependent Protein Deacetylase Activity","MF"
"2295","Nadh Dehydrogenase (Quinone) Activity","MF"
"2296","Nadh Dehydrogenase (Ubiquinone) Activity","MF"
"2297","Nadh Dehydrogenase Activity","MF"
"2298","Nadp Binding","MF"
"2299","Nad Binding","MF"
"2300","Neuropeptide Hormone Activity","MF"
"2301","Neurotransmitter Binding","MF"
"2302","Neurotransmitter Receptor Activity","MF"
"2303","Nickel Cation Binding","MF"
"2304","Nicotianamine Synthase Activity","MF"
"2305","Nicotinate-Nucleotide Diphosphorylase (Carboxylating) Activity","MF"
"2306","Nicotinate Phosphoribosyltransferase Activity","MF"
"2307","Nitric-Oxide Synthase Activity","MF"
"2308","Nitrogenase Activity","MF"
"2309","Nuclear Export Signal Receptor Activity","MF"
"2310","Nuclease Activity","MF"
"2311","Nucleic Acid Binding","MF"
"2312","Nucleobase-Containing Compound Kinase Activity","MF"
"2313","Nucleobase-Containing Compound Transmembrane Transporter Activity","MF"
"2314","Nucleobase Transmembrane Transporter Activity","MF"
"2315","Nucleoside-Triphosphatase Activity","MF"
"2316","Nucleoside-Triphosphatase Regulator Activity","MF"
"2317","Nucleoside Binding","MF"
"2318","Nucleoside Diphosphate Kinase Activity","MF"
"2319","Nucleoside Kinase Activity","MF"
"2320","Nucleoside Transmembrane Transporter Activity","MF"
"2321","Nucleosome Binding","MF"
"2322","Nucleotidase Activity","MF"
"2323","Nucleotide-Sugar Transmembrane Transporter Activity","MF"
"2324","Nucleotide Binding","MF"
"2325","Nucleotide Kinase Activity","MF"
"2326","Nucleotidyltransferase Activity","MF"
"2327","Nutrient Reservoir Activity","MF"
"2328","O-Acetyltransferase Activity","MF"
"2329","O-Acyltransferase Activity","MF"
"2330","O-Methyltransferase Activity","MF"
"2331","O-Sialoglycoprotein Endopeptidase Activity","MF"
"2332","Oligosaccharyl Transferase Activity","MF"
"2333","Organic Acid:Sodium Symporter Activity","MF"
"2334","Organic Acid Transmembrane Transporter Activity","MF"
"2335","Organic Cation Transmembrane Transporter Activity","MF"
"2336","Ornithine Carbamoyltransferase Activity","MF"
"2337","Orotate Phosphoribosyltransferase Activity","MF"
"2338","Orotidine-5-Phosphate Decarboxylase Activity","MF"
"2339","Oxidized Base Lesion Dna N-Glycosylase Activity","MF"
"2340","Oxidized Purine Nucleobase Lesion Dna N-Glycosylase Activity","MF"
"2341","Oxidoreductase Activity","MF"
"2342","Oxidoreductase Activity, Acting On A Heme Group Of Donors","MF"
"2343","Oxidoreductase Activity, Acting On A Heme Group Of Donors, Oxygen As Acceptor","MF"
"2344","Oxidoreductase Activity, Acting On A Sulfur Group Of Donors","MF"
"2345","Oxidoreductase Activity, Acting On A Sulfur Group Of Donors, Disulfide As Acceptor","MF"
"2346","Oxidoreductase Activity, Acting On A Sulfur Group Of Donors, Iron-Sulfur Protein As Acceptor","MF"
"2347","Oxidoreductase Activity, Acting On A Sulfur Group Of Donors, Nad Or Nadp As Acceptor","MF"
